,Unnamed: 0,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,warna_kulit,tone_kulit
9126,9126,2021-11-25T15:28:45.000Z,952664,Vlntnaaaa,25 - 29,89000,Powerful Daisy Serum,Kindy Glow,3.9,(1530),Instagram,Serum \\u0026 Essence,Treatment,18 and Under,1 week - 1 month,y,5,Vlntnaaaa recommends this product!,,
9127,9127,2021-11-25T15:28:42.000Z,985014,Stefanyaliciat,18 and Under,83216,Primer Lipomask,Jacquelle,4.2,(470),FD Try and Review,Mask Sheet,Mask,18 and Under,Less than 1 week,y,4,Stefanyaliciat recommends this product!,,
9128,9128,2021-11-25T15:27:16.000Z,985000,Putrajaya,25 - 29,86269,Butter Clay Mask With Calamine,Jacquelle,3.7,(932),Sample,Wash-Off,Mask,Oily,Less than 1 week,y,5,Putrajaya recommends this product!,Medium Dark,Warm
9129,9129,2021-11-25T15:26:47.000Z,952664,Vlntnaaaa,18 and Under,88998,Juicy Daisy Toner,Kindy Glow,3.9,(262),Instagram,Toner,Cleanser,Combination,1 week - 1 month,y,5,Vlntnaaaa recommends this product!,Medium Light,Neutral
9130,9130,2021-11-25T15:26:22.000Z,259619,Syifakhry,19 - 24,15967,Acne Gel,Verile,4.7,(10),Alfamart,Acne Treatment,Treatment,Dry,6 months - 1 year,y,3,Syifakhry doesn't recommend this product! ,Medium,Neutral
9131,9131,2021-11-25T15:26:18.000Z,824793,niadluiz,19 - 24,75296,Natural Essential Mask Aqua Lifting,AHC,4.4,(897),Brand website,Mask Sheet,Mask,Combination,1 month - 3 months,n,5,niadluiz recommends this product!,Light,Neutral
9132,9132,2021-11-25T15:25:48.000Z,108780,reinadhdh,25 - 29,86797,Deep Hydration Calming Moisturizer,ElsheSkin,3.7,(22),Gift,Day Cream,Moisturizer,19 - 24,1 week - 1 month,y,4,reinadhdh recommends this product!,,
9133,9133,2021-11-25T15:25:01.000Z,984997,TharyshaNM,19 - 24,81272,Disney Edition Complete Me! Face Palette,Jacquelle,4.7,(103),Shopee,Face Palette,Face,Oily,Less than 1 week,n,5,TharyshaNM recommends this product!,Medium Dark,Warm
9134,9134,2021-11-25T15:24:55.000Z,952664,Vlntnaaaa,19 - 24,89004,Sleepy Daisy Night Cream,Kindy Glow,4.6,(176),Instagram,Night Cream,Moisturizer,Combination,1 week - 1 month,y,5,Vlntnaaaa recommends this product!,Medium,Neutral
9135,9135,2021-11-25T15:24:09.000Z,801255,debbiefatmawati,19 - 24,25751,Hair Mask ,Natur,4.8,(82),Traditional market,Hair Mask,Treatment,18 and Under,1 week - 1 month,y,5,debbiefatmawati recommends this product!,,
9136,9136,2021-11-25T15:22:53.000Z,984995,yesicago,18 and Under,81272,Disney Edition Complete Me! Face Palette,Jacquelle,4.9,(2971),Shopee,Face Palette,Face,Dry,Less than 1 week,y,5,yesicago recommends this product!,Medium,Warm
9137,9137,2021-11-25T15:21:44.000Z,977595,KurniaDliki,19 - 24,88450,Miracles Hair Mask,Pantene,4.8,(1389),Gift,Hair Mask,Treatment,19 - 24,Less than 1 week,n,5,KurniaDliki recommends this product!,,
9138,9138,2021-11-25T15:21:22.000Z,985003,kusumahadi,30 - 34,81272,Disney Edition Complete Me! Face Palette,Jacquelle,5,(18),Beauty Studio,Face Palette,Face,Combination,6 months - 1 year,y,5,kusumahadi recommends this product!,Light,Cool
9139,9139,2021-11-25T15:21:11.000Z,711545,Opiwoody,19 - 24,84057,Cica Beat The Sun,N'pure,4.8,(2050),Shopee,Sun Protection,Moisturizer,18 and Under,1 month - 3 months,y,5,Opiwoody recommends this product!,,
9140,9140,2021-11-25T15:20:59.000Z,985000,Putrajaya,19 - 24,83216,Primer Lipomask,Jacquelle,4.3,(809),PR Package,Mask Sheet,Mask,19 - 24,Less than 1 week,y,5,Putrajaya recommends this product!,,
9141,9141,2021-11-25T15:20:33.000Z,984971,Dianaaryan,19 - 24,78007,Cica Chocomint Clay Mask,N'pure,4.8,(747),Guardian,Wash-Off,Mask,19 - 24,1 week - 1 month,y,5,Dianaaryan recommends this product!,,
9142,9142,2021-11-25T15:20:02.000Z,984999,sebastians,19 - 24,86650,Yogurt Sleeping Mask,Jacquelle,4.9,(1185),Tokopedia,Sleeping Mask,Mask,Oily,Less than 1 week,n,5,sebastians recommends this product!,Medium Dark,Warm
9143,9143,2021-11-25T15:19:11.000Z,952664,Vlntnaaaa,19 - 24,77675,Anti Acne & Brightening Serum,Azarine Cosmetics,4.8,(790),Shopee,Acne Treatment,Treatment,19 - 24,6 months - 1 year,n,5,Vlntnaaaa recommends this product!,,
9144,9144,2021-11-25T15:17:47.000Z,984997,TharyshaNM,19 - 24,86650,Yogurt Sleeping Mask,Jacquelle,5,(20),Shopee,Sleeping Mask,Mask,18 and Under,Less than 1 week,n,5,TharyshaNM recommends this product!,,
